"References","Value","Quantity","Manufacturer","MPN","DigiKey Part Number","DigiKey URL","Footprint","DNP","Purchase Quantity","Notes"
"J1","AudioJack2_Switch","1","Neutrik","NRJ4HF","6473-NRJ4HF-ND","https://www.digikey.com/en/products/detail/neutrik-americas-inc/NRJ4HF/29427414","Connector_Audio:Jack_6.35mm_Neutrik_NRJ4HF_Horizontal","","1","6.35mm audio jack; exact footprint model. J1 and J2 use the same part; buy two total."
"J2","AudioJack2","1","Neutrik","NRJ4HF","6473-NRJ4HF-ND","https://www.digikey.com/en/products/detail/neutrik-americas-inc/NRJ4HF/29427414","Connector_Audio:Jack_6.35mm_Neutrik_NRJ4HF_Horizontal","","1","6.35mm audio jack; exact footprint model. J1 and J2 use the same part; buy two total."
"J3","5V_IN","1","Amphenol ICC (FCI)","68000-102HLF","609-3500-ND","https://www.digikey.com/en/products/detail/amphenol-cs-fci/68000-102HLF/1493545","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","1","1x2 straight male header; 2.54mm pitch; bulk."
"J4","DISPLAY_UART","1","Amphenol ICC (FCI)","68000-104HLF","609-3248-ND","https://www.digikey.com/en/products/detail/amphenol-icc-fci/68000-104HLF/1878462","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","1","1x4 straight male header; 2.54mm pitch; bulk."
"J5","SJ1-3535NG","1","Same Sky (formerly CUI Devices)","SJ1-3535NG","CP1-3535NG-ND","https://www.digikey.com/en/products/detail/same-sky-formerly-cui-devices/SJ1-3535NG/738699","Connector_Audio:Jack_3.5mm_CUI_SJ1-3535NG_Horizontal","","1","3.5mm stereo audio jack; exact footprint model."
"J6","Seed3_PINS_RIGHT","1","Sullins Connector Solutions","PPPC201LFBN-RC","S7053-ND","https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPPC201LFBN-RC/810192","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","","1","1x20 straight female socket; 2.54mm pitch. J6 and J7 use the same part; buy two total."
"J7","Seed3_PINS_LEFT","1","Sullins Connector Solutions","PPPC201LFBN-RC","S7053-ND","https://www.digikey.com/en/products/detail/sullins-connector-solutions/PPPC201LFBN-RC/810192","Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical","","1","1x20 straight female socket; 2.54mm pitch. J6 and J7 use the same part; buy two total."
"Q1","AO3401A","1","Alpha & Omega Semiconductor","AO3401A","785-1001-1-ND","https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AO3401A/1855773","Package_TO_SOT_SMD:SOT-23","","1","P-channel MOSFET; SOT-23; cut tape."
"R1","1k","1","YAGEO","RC1206FR-071KL","311-1.00KFRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC1206FR-071KL/728387","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","1","1206; 1%; 0.25W; cut tape."
"R2","3.3k","1","YAGEO","RC1206FR-073K3L","311-3.30KFRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC1206FR-073K3L/731713","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","1","1206; 1%; 0.25W; cut tape."
"R3,R13,R14","100","3","YAGEO","RC1206FR-07100RL","311-100FRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC1206FR-07100RL/728491","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","3","1206; 1%; 0.25W; cut tape."
"R4","100k","1","YAGEO","RC1206FR-07100KL","311-100KFRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC1206FR-07100KL/728492","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","1","1206; 1%; 0.25W; cut tape."
"R5","10M","1","YAGEO","RC1206FR-0710ML","311-10.0MFRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC1206FR-0710ML/728484","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","1","1206; 1%; 0.25W; cut tape."
"R6","1M","1","YAGEO","RC1206FR-071ML","311-1.00MFRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC1206FR-071ML/728388","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","1","1206; 1%; 0.25W; cut tape."
"R7,R8","10k","2","YAGEO","RC1206FR-0710KL","311-10.0KFRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC1206FR-0710KL/728483","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","2","1206; 1%; 0.25W; cut tape."
"R9,R10,R11,R12","20k","4","YAGEO","RC1206FR-0720KL","311-20.0KFRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC1206FR-0720KL/728672","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","4","1206; 1%; 0.25W; cut tape."
"R15,R16","4.7","2","YAGEO","RC1206FR-074R7L","311-4.70FRCT-ND","https://www.digikey.com/en/products/detail/yageo/RC1206FR-074R7L/728886","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","","2","1206; 1%; 0.25W; cut tape."
"RV1","1M INPUT LEVEL","1","Bourns","PTV09A-4020F-B105","PTV09A-4020F-B105-ND","https://www.digikey.com/en/products/detail/bourns-inc/PTV09A-4020F-B105/4699522","Seed3_Carrier:Potentiometer_Bourns_PTV09A-4_Single_Vertical_3mmMount","","1","1M linear; 20mm flat 6mm shaft; no detent. Solder mounting tabs in updated 3mm holes; physical fit untested."
"RV2,RV3","10k linear","2","Bourns","PTV09A-4020F-B103","PTV09A-4020F-B103-ND","https://www.digikey.com/en/products/detail/bourns-inc/PTV09A-4020F-B103/3534181","Seed3_Carrier:Potentiometer_Bourns_PTV09A-4_Single_Vertical_3mmMount","","2","10k linear; 20mm flat 6mm shaft; no detent. Solder mounting tabs in updated 3mm holes; physical fit untested."
"TP5","TP_VREF","1","","","","","TestPoint:TestPoint_Pad_D2.0mm","","0","Bare PCB test pad; no component to buy."
"TP9","TP_AMP_5V","1","","","","","TestPoint:TestPoint_Pad_D2.0mm","","0","Bare PCB test pad; no component to buy."
"U1","TLV9062IDR","1","Texas Instruments","TLV9062IDR","296-47857-1-ND","https://www.digikey.com/en/products/detail/texas-instruments/TLV9062IDR/7364940","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","1","Dual op amp; SOIC-8; cut tape."
"U2","TPA6111A2DR","1","Texas Instruments","TPA6111A2DR","296-10846-1-ND","https://www.digikey.com/en/products/detail/texas-instruments/TPA6111A2DR/382220","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","1","Headphone amplifier; SOIC-8; cut tape."
